"","Rank","Song","Artist","Year"
"3352","52","7","Prince and The New Power Generationand","1993"
"3353","53","Dre Day","Dr. Dreand","1993"
"3354","54","One Last Cry","Brian McKnightand","1993"
"3355","55","Just Kickin' It","Xscapeand","1993"
"3356","56","I Get Around","2Pacand","1993"
"3357","57","Bed of Roses","Bon Joviand","1993"
"3358","58","Real Love","Mary J. Bligeand","1993"
"3359","59","Here We Go Again!","Portraitand","1993"
"3360","60","Cryin'","Aerosmithand","1993"
"3361","61","Cat's in the Cradle","Ugly Kid Joeand","1993"
"3362","62","What About Your Friends","TLCand","1993"
"3363","63","I Got a Man","Positive Kand","1993"
"3364","64","Hey Mr. D.J.","Zhan<U+00E9>and","1993"
"3365","65","Insane in the Brain","Cypress Hilland","1993"
"3366","66","Deeper and Deeper","Madonnaand","1993"
"3367","67","Rain","","1993"
"3368","68","The Right Kind of Love","Jeremy Jordanand","1993"
"3369","69","Bad Boys","Inner Circleand","1993"
"3370","70","That's What Love Can Do","Boy Krazyand","1993"
"3371","71","Do You Believe in Us","Jon Secadaand","1993"
"3372","72","Angel","","1993"
"3373","73","Forever in Love","Kenny Gand","1993"
"3374","74","Again","Janet Jacksonand","1993"
"3375","75","Boom! Shake the Room","DJ Jazzy Jeff and The Fresh Princeand","1993"
"3376","76","When She Cries","Restless Heartand","1993"
"3377","77","Sweat (A La La La La Long)","Inner Circleand","1993"
"3378","78","It Was a Good Day","Ice Cubeand","1993"
"3379","79","More and More","Captain Hollywood Projectand","1993"
"3380","80","How Do You Talk to an Angel","The Heightsand","1993"
"3381","81","Rebirth of Slick (Cool Like Dat)","Digable Planetsand","1993"
"3382","82","What Is Love","Haddawayand","1993"
"3383","83","To Love Somebody","Michael Boltonand","1993"
"3384","84","Give It Up, Turn It Loose","En Vogueand","1993"
"3385","85","Alright","Kris Kross featuring Super Catand","1993"
"3386","86","Check Yo Self","Ice Cube featuring Das EFXand","1993"
"3387","87","Fields of Gold","Stingand","1993"
"3388","88","Ooh Child","Dinoand","1993"
"3389","89","Faithful","Go Westand","1993"
"3390","90","Reason to Believe","Rod Stewartand","1993"
"3391","91","Break It Down Again","Tears for Fearsand","1993"
"3392","92","Nothin' My Love Can't Fix","Joey Lawrenceand","1993"
"3393","93","Three Little Pigs","Green Jell<U+00FF>and","1993"
"3394","94","Livin' on the Edge","Aerosmithand","1993"
"3395","95","Hey Jealousy","Gin Blossomsand","1993"
"3396","96","If I Ever Lose My Faith in You","Stingand","1993"
"3397","97","Anniversary","Tony! Toni! Ton<U+00E9>!and","1993"
"3398","98","One Woman","Jadeand","1993"
"3399","99","Can't Get Enough of Your Love","Taylor Dayneand","1993"
"3400","100","Two Steps Behind","Def Leppardand","1993"
"3401","1","The Sign","Ace of Baseand","1994"
"3402","2","I Swear","All-4-Oneand","1994"
"3403","3","I'll Make Love to You","Boyz II Menand","1994"
"3404","4","The Power of Love","Celine Dionand","1994"
"3405","5","Hero","Mariah Careyand","1994"
"3406","6","Stay (I Missed You)","Lisa Loeb and Nine Storiesand","1994"
"3407","7","Breathe Again","Toni Braxtonand","1994"
"3408","8","All for Love","Bryan Adams, Rod Stewart and Stingand","1994"
"3409","9","All That She Wants","Ace of Baseand","1994"
"3410","10","Don't Turn Around","","1994"
"3411","11","Bump n' Grind","R. Kellyand","1994"
"3412","12","Again","Janet Jacksonand","1994"
"3413","13","I'll Remember","Madonnaand","1994"
"3414","14","Whatta Man","Salt-n-Pepa featuring En Vogueand","1994"
"3415","15","Wild Night","John Mellencamp with Meshell Ndegeocelloand","1994"
"3416","16","Without You / Never Forget You","Mariah Careyand","1994"
"3417","17","You Mean the World to Me","Toni Braxtonand","1994"
"3418","18","Can You Feel the Love Tonight","Elton Johnand","1994"
"3419","19","The Most Beautiful Girl in the World","Princeand","1994"
"3420","20","Fantastic Voyage","Coolioand","1994"
"3421","21","Baby, I Love Your Way","Big Mountainand","1994"
"3422","22","Regulate","Warren G and Nate Doggand","1994"
"3423","23","If You Go","Jon Secadaand","1994"
"3424","24","Back & Forth","Aaliyahand","1994"
"3425","25","Now and Forever","Richard Marxand","1994"
"3426","26","When Can I See You","Babyfaceand","1994"
"3427","27","Please Forgive Me","Bryan Adamsand","1994"
"3428","28","So Much in Love","All-4-Oneand","1994"
"3429","29","Shoop","Salt-n-Pepaand","1994"
"3430","30","Any Time, Any Place / And On and On","Janet Jacksonand","1994"
"3431","31","Shine","Collective Souland","1994"
"3432","32","Said I Loved You...But I Lied","Michael Boltonand","1994"
"3433","33","Return to Innocence","Enigmaand","1994"
"3434","34","All I Wanna Do","Sheryl Crowand","1994"
"3435","35","Mmm Mmm Mmm Mmm","Crash Test Dummiesand","1994"
"3436","36","Can We Talk","Tevin Campbelland","1994"
"3437","37","Funkdafied","Da Bratand","1994"
"3438","38","I'd Do Anything for Love (But I Won't Do That)","Meat Loafand","1994"
"3439","39","Gangsta Lean","DRSand","1994"
"3440","40","Because the Night","10,000 Maniacsand","1994"
"3441","41","Cantaloop (Flip Fantasia)","Us3and","1994"
"3442","42","Whoomp! (There It Is)","Tag Teamand","1994"
"3443","43","Come to My Window","Melissa Etheridgeand","1994"
"3444","44","Stroke You Up","Changing Facesand","1994"
"3445","45","I'm Ready","Tevin Campbelland","1994"
"3446","46","100% Pure Love","Crystal Watersand","1994"
"3447","47","Anytime You Need a Friend","Mariah Careyand","1994"
"3448","48","Because of Love","Janet Jacksonand","1994"
"3449","49","Linger","The Cranberriesand","1994"
"3450","50","Loser","Beckand","1994"
"3451","51","Found Out About You","Gin Blossomsand","1994"
"3452","52","Gin and Juice","Snoop Doggy Doggand","1994"
"3453","53","Never Lie","Immatureand","1994"
"3454","54","Streets of Philadelphia","Bruce Springsteenand","1994"
"3455","55","Getto Jam","Dominoand","1994"
"3456","56","Endless Love","Luther Vandross and Mariah Careyand","1994"
"3457","57","I Miss You","Aaron Halland","1994"
"3458","58","Understanding","Xscapeand","1994"
"3459","59","This D.J.","Warren Gand","1994"
"3460","60","Cry for You","Jodeciand","1994"
"3461","61","Keep Ya Head Up","2Pacand","1994"
"3462","62","What's My Name?","Snoop Doggy Doggand","1994"
"3463","63","Another Night","Real McCoyand","1994"
"3464","64","Your Body's Callin'","R. Kellyand","1994"
"3465","65","Tootsee Roll","69 Boyzand","1994"
"3466","66","I Can See Clearly Now (from Cool Runnings)","Jimmy Cliffand","1994"
"3467","67","Never Keeping Secrets","Babyfaceand","1994"
"3468","68","Crazy","Aerosmithand","1994"
"3469","69","Just Kickin' It","Xscapeand","1994"
"3470","70","(At Your Best) You Are Love","Aaliyahand","1994"
"3471","71","Rock and Roll Dreams Come Through","Meat Loafand","1994"
"3472","72","Amazing","Aerosmithand","1994"
"3473","73","Always","Erasureand","1994"
"3474","74","Groove Thang","Zhan<U+00E9>and","1994"
"3475","75","Dreams","Gabrielleand","1994"
"3476","76","Mr. Vain","Culture Beatand","1994"
"3477","77","Mary Jane's Last Dance","Tom Petty and the Heartbreakersand","1994"
"3478","78","Anything","SWVand","1994"
"3479","79","Beautiful in My Eyes","Joshua Kadisonand","1994"
"3480","80","Stay","Eternaland","1994"
"3481","81","Flava in Ya Ear","Craig Mackand","1994"
"3482","82","U.N.I.T.Y.","Queen Latifahand","1994"
"3483","83","Prayer for the Dying","Sealand","1994"
"3484","84","Secret","Madonnaand","1994"
"3485","85","Here Comes the Hotstepper","Ini Kamozeand","1994"
"3486","86","Everyday","Phil Collinsand","1994"
"3487","87","Don't Take the Girl","Tim McGrawand","1994"
"3488","88","Got Me Waiting","Heavy D and the Boyzand","1994"
"3489","89","December, 1963 (Oh, What a Night)","The Four Seasonsand","1994"
"3490","90","Indian Outlaw","Tim McGrawand","1994"
"3491","91","Always","Bon Joviand","1994"
"3492","92","I'm the Only One","Melissa Etheridgeand","1994"
"3493","93","Back in the Day","Ahmadand","1994"
"3494","94","Love Sneakin' Up On You","Bonnie Raittand","1994"
"3495","95","I'll Take You There (from Threesome)","General Publicand","1994"
"3496","96","Always in My Heart","Tevin Campbelland","1994"
"3497","97","What Is Love","Haddawayand","1994"
"3498","98","And Our Feelings","Babyfaceand","1994"
"3499","99","Bop Gun (One Nation)","Ice Cube featuring George Clintonand","1994"
"3500","100","I Wanna Be Down","Brandyand","1994"
"3501","1","Gangsta's Paradise","Coolio featuring L.V.and","1995"
"3502","2","Waterfalls","TLCand","1995"
"3503","3","Creep","","1995"
"3504","4","Kiss from a Rose","Sealand","1995"
"3505","5","On Bended Knee","Boyz II Menand","1995"
"3506","6","Another Night","Real McCoyand","1995"
"3507","7","Fantasy","Mariah Careyand","1995"
"3508","8","Take a Bow","Madonnaand","1995"
"3509","9","Don't Take It Personal (Just One of Dem Days)","Monicaand","1995"
"3510","10","This Is How We Do It","Montell Jordanand","1995"
"3511","11","I Know","Dionne Farrisand","1995"
"3512","12","Water Runs Dry","Boyz II Menand","1995"
"3513","13","Freak Like Me","Adina Howardand","1995"
"3514","14","Run-Around","Blues Travelerand","1995"
"3515","15","I Can Love You Like That","All-4-Oneand","1995"
"3516","16","Have You Ever Really Loved a Woman?","Bryan Adamsand","1995"
"3517","17","Always","Bon Joviand","1995"
"3518","18","Boombastic / In the Summertime","Shaggyand","1995"
"3519","19","Total Eclipse of the Heart","Nicki Frenchand","1995"
"3520","20","You Gotta Be","Des'reeand","1995"
"3521","21","You Are Not Alone","Michael Jacksonand","1995"
"3522","22","Hold My Hand","Hootie and the Blowfishand","1995"
"3523","23","One More Chance/Stay with Me","The Notorious B.I.G.and","1995"
"3524","24","Here Comes the Hotstepper","Ini Kamozeand","1995"
"3525","25","Candy Rain","Soul for Realand","1995"
"3526","26","Let Her Cry","Hootie and the Blowfishand","1995"
"3527","27","I Believe","Blessid Union of Soulsand","1995"
"3528","28","Red Light Special","TLCand","1995"
"3529","29","Runaway","Janet Jacksonand","1995"
"3530","30","Strong Enough","Sheryl Crowand","1995"
"3531","31","Colors of the Wind","Vanessa Williamsand","1995"
"3532","32","Someone to Love","Jon B. featuring Babyfaceand","1995"
"3533","33","Only Wanna Be with You","Hootie and the Blowfishand","1995"
"3534","34","If You Love Me","Brownstoneand","1995"
"3535","35","In the House of Stone and Light","Martin Pageand","1995"
"3536","36","I Got 5 on It","Lunizand","1995"
"3537","37","Baby","Brandyand","1995"
"3538","38","Run Away","Real McCoyand","1995"
"3539","39","As I Lay Me Down","Sophie B. Hawkinsand","1995"
"3540","40","He's Mine","MoKenStefand","1995"
"3541","41","December","Collective Souland","1995"
"3542","42","I'll Be There for You/You're All I Need to Get By","Method Man featuring Mary J. Bligeand","1995"
"3543","43","Shy Guy","Diana Kingand","1995"
"3544","44","I'm the Only One","Melissa Etheridgeand","1995"
"3545","45","Every Little Thing I Do","Soul for Realand","1995"
"3546","46","Before I Let You Go","Blackstreetand","1995"
"3547","47","Big Poppa / Warning","The Notorious B.I.G.and","1995"
"3548","48","Sukiyaki","4 P.M.and","1995"
"3549","49","I Wanna Be Down","Brandyand","1995"
"3550","50","I'll Make Love to You","Boyz II Menand","1995"
"3551","51","Dear Mama / Old School","2Pacand","1995"
"3552","52","Hold On","Jamie Waltersand","1995"
"3553","53","Keep Their Heads Ringin'","Dr. Dreand","1995"
"3554","54","The Rhythm of the Night","Coronaand","1995"
"3555","55","Roll to Me","Del Amitriand","1995"
"3556","56","Scream / Childhood","Michael Jackson and Janet Jacksonand","1995"
"3557","57","Freek'n You","Jodeciand","1995"
"3558","58","I Wish","Skee-Loand","1995"
"3559","59","Believe","Elton Johnand","1995"
"3560","60","Carnival","Natalie Merchantand","1995"
"3561","61","You Don't Know How It Feels","Tom Pettyand","1995"
"3562","62","Back for Good","Take Thatand","1995"
"3563","63","Tootsee Roll","69 Boyzand","1995"
"3564","64","You Want This / 70's Love Groove","Janet Jacksonand","1995"
"3565","65","Tell Me","Groove Theoryand","1995"
"3566","66","Can't You See","Total featuring The Notorious B.I.G.and","1995"
"3567","67","All I Wanna Do","Sheryl Crowand","1995"
"3568","68","This Lil' Game We Play","Subway featuring 702and","1995"
"3569","69","Come and Get Your Love","Real McCoyand","1995"
"3570","70","This Ain't a Love Song","Bon Joviand","1995"
"3571","71","Secret","Madonnaand","1995"
"3572","72","Player's Anthem","Junior M.A.F.I.A. featuring The Notorious B.I.G.and","1995"
"3573","73","Feel Me Flow","Naughty by Natureand","1995"
"3574","74","Every Day of the Week","Jadeand","1995"
"3575","75","The Sweetest Days","Vanessa Williamsand","1995"
"3576","76","Short Dick Man","20 Fingers featuring Gilletteand","1995"
"3577","77","Brokenhearted","Brandyand","1995"
"3578","78","No More I Love You's","Annie Lennoxand","1995"
"3579","79","You Used to Love Me","Faith Evansand","1995"
"3580","80","Constantly","Immatureand","1995"
"3581","81","Hold Me, Thrill Me, Kiss Me, Kill Me","U2and","1995"
"3582","82","100% Pure Love","Crystal Watersand","1995"
"3583","83","Ask of You","Raphael Saadiqand","1995"
"3584","84","Sugar Hill","AZand","1995"
"3585","85","Good","Better Than Ezraand","1995"
"3586","86","Brown Sugar","D'Angeloand","1995"
"3587","87","Turn the Beat Around","Gloria Estefanand","1995"
"3588","88","'Til You Do Me Right","After 7and","1995"
"3589","89","1st of tha Month","Bone Thugs-n-Harmonyand","1995"
"3590","90","Like the Way I Do / If I Wanted To","Melissa Etheridgeand","1995"
"3591","91","I Live My Life for You","FireHouseand","1995"
"3592","92","Dream About You / Funky Melody","Stevie Band","1995"
"3593","93","Cotton Eye Joe","Rednexand","1995"
"3594","94","Thank You","Boyz II Menand","1995"
"3595","95","I'll Stand by You","The Pretendersand","1995"
"3596","96","I Miss You","N II Uand","1995"
"3597","97","Give It 2 You","Da Bratand","1995"
"3598","98","Best Friend","Brandyand","1995"
"3599","99","Misery","Soul Asylumand","1995"
"3600","100","Can't Stop Lovin' You","Van Halenand","1995"
"3601","1","Macarena (Bayside Boys Mix)","Los del R<U+00ED>oand","1996"
"3602","2","One Sweet Day","Mariah Carey and Boyz II Menand","1996"
"3603","3","Because You Loved Me","Celine Dionand","1996"
"3604","4","Nobody Knows","The Tony Rich Projectand","1996"
"3605","5","Always Be My Baby","Mariah Careyand","1996"
"3606","6","Give Me One Reason","Tracy Chapmanand","1996"
"3607","7","Tha Crossroads","Bone Thugs-n-Harmonyand","1996"
"3608","8","I Love You Always Forever","Donna Lewisand","1996"
"3609","9","You're Makin' Me High / Let It Flow","Toni Braxtonand","1996"
"3610","10","Twisted","Keith Sweatand","1996"
"3611","11","C'mon N' Ride It (The Train)","Quad City DJ'sand","1996"
"3612","12","Missing","Everything but the Girland","1996"
"3613","13","Ironic","Alanis Morissetteand","1996"
"3614","14","Exhale (Shoop Shoop)","Whitney Houstonand","1996"
"3615","15","Follow You Down / Til I Hear It from You","Gin Blossomsand","1996"
"3616","16","Sittin' Up in My Room","Brandyand","1996"
"3617","17","How Do U Want It / California Love","2Pac featuring K-Ci and JoJo / 2Pac featuring Dr. Dre and Roger Troutmanand","1996"
"3618","18","It's All Coming Back to Me Now","Celine Dionand","1996"
"3619","19","Change the World","Eric Claptonand","1996"
"3620","20","Hey Lover","LL Cool J featuring Boyz II Menand","1996"
"3621","21","Loungin","LL Cool Jand","1996"
"3622","22","Insensitive","Jann Ardenand","1996"
"3623","23","Be My Lover","La Boucheand","1996"
"3624","24","Name","Goo Goo Dollsand","1996"
"3625","25","Who Will Save Your Soul","Jeweland","1996"
"3626","26","Where Do You Go","No Mercyand","1996"
"3627","27","I Can't Sleep Baby (If I)","R. Kellyand","1996"
"3628","28","Counting Blue Cars","Dishwallaand","1996"
"3629","29","You Learn / You Oughta Know","Alanis Morissetteand","1996"
"3630","30","One of Us","Joan Osborneand","1996"
"3631","31","Wonder","Natalie Merchantand","1996"
"3632","32","Not Gon' Cry","Mary J. Bligeand","1996"
"3633","33","Gangsta's Paradise","Coolio featuring L.V.and","1996"
"3634","34","Only You","112 featuring The Notorious B.I.G.and","1996"
"3635","35","Down Low (Nobody Has to Know)","R. Kelly featuring Ronald Isleyand","1996"
